"Symbol","Synonym Symbol","Scientific Name with Author","National Common Name","Family"
"TORY","TOVO2","Toxicodendron volubile Mill., nom. utique rej.","","Anacardiaceae"
"TOXIC","","Toxicodendron Mill.","poison oak","Anacardiaceae"
"ANAR3","","Angelica arguta Nutt.","Lyall's angelica","Apiaceae"
"ANAR3","ANLY2","Angelica lyallii S. Watson","","Apiaceae"
"ANBR5","","Angelica breweri A. Gray","Brewer's angelica","Apiaceae"
"ANBR5","ANARB","Angelica arguta Nutt. var. breweri (A. Gray) Di Tomaso","","Apiaceae"
"ANGEL","","Angelica L.","angelica","Apiaceae"
"ANKI","","Angelica kingii (S. Watson) J.M. Coult. & Rose","King's angelica","Apiaceae"
"ANLI2","","Angelica lineariloba A. Gray","poison angelica","Apiaceae"
"ANLI2","ANLIC","Angelica lineariloba A. Gray var. culbertsonii Jeps.","","Apiaceae"
"ANSC9","","Angelica scabrida Clokey & Mathias ex Clokey","Charleston Mountain angelica","Apiaceae"
"APGR2","","Apium graveolens L.","wild celery","Apiaceae"
"APGRD","","Apium graveolens L. var. dulce (Mill.) DC.","wild celery","Apiaceae"
"APGRD","APDU2","Apium dulce Mill.","","Apiaceae"
"APGRD","CEGR11","Celeri graveolens (L.) Britton p.p.","","Apiaceae"
"APIUM","","Apium L.","celery","Apiaceae"
"BEER","","Berula erecta (Huds.) Coville","cutleaf waterparsnip","Apiaceae"
"BEER","BEERI2","Berula erecta (Huds.) Coville var. incisa (Torr.) Cronquist","","Apiaceae"
"BEER","BEIN3","Berula incisa (Torr.) G.N. Jones","","Apiaceae"
"BEER","BEPU6","Berula pusilla Fernald","","Apiaceae"
"BEER","SIER2","Siella erecta (Huds.) M. Pimen.","","Apiaceae"
"BERUL","","Berula Besser ex W.D.J. Koch","waterparsnip","Apiaceae"
"BOIN3","","Bowlesia incana Ruiz & Pav.","hoary bowlesia","Apiaceae"
"BOIN3","BOSE2","Bowlesia septentrionalis J.M. Coult. & Rose","","Apiaceae"
"BOWLE","","Bowlesia Ruiz & Pav.","bowlesia","Apiaceae"
"CICUT","","Cicuta L.","water hemlock","Apiaceae"
"CIDO","","Cicuta douglasii (DC.) J.M. Coult. & Rose","western water hemlock","Apiaceae"
"CIDO","CIMAC","Cicuta maculata L. var. californica (A. Gray) B. Boivin","","Apiaceae"
"CIMA2","","Cicuta maculata L.","spotted water hemlock","Apiaceae"
"CIMAA","","Cicuta maculata L. var. angustifolia Hook.","spotted water hemlock","Apiaceae"
"CIMAA","CIOC3","Cicuta occidentalis Greene","","Apiaceae"
"COMA2","","Conium maculatum L.","poison hemlock","Apiaceae"
"CONIU","","Conium L.","poison hemlock","Apiaceae"
"CORIA","","Coriandrum L.","coriander","Apiaceae"
"COSA","","Coriandrum sativum L.","coriander","Apiaceae"
"CYAB","","Cymopterus aboriginum M.E. Jones","Indian springparsley","Apiaceae"
"CYBA3","","Cymopterus basalticus M.E. Jones","basalt springparsley","Apiaceae"
"CYCI2","","Cymopterus cinerarius A. Gray","gray springparsley","Apiaceae"
"CYCLO4","","Cyclospermum Lag.","marsh parsley","Apiaceae"
"CYCO4","","Cymopterus corrugatus M.E. Jones","wrinklewing springparsley","Apiaceae"
"CYCO4","RHPL5","Rhysopterus plurijugus J.M. Coult. & Rose","","Apiaceae"
"CYGI","","Cymopterus gilmanii Morton","Gilman's springparsley","Apiaceae"
"CYGL2","","Cymopterus globosus (S. Watson) S. Watson","globe springparsley","Apiaceae"
"CYGO","","Cymopterus goodrichii S.L. Welsh & Neese","Toiyabe springparsley","Apiaceae"
"CYIB","","Cymopterus ibapensis M.E. Jones","Ibapah springparsley","Apiaceae"
"CYIB","CYLOI","Cymopterus longipes S. Watson var. ibapensis (M.E. Jones) Cronquist","","Apiaceae"
"CYIB","CYWA11","Cymopterus watsonii (J.M. Coult. & Rose) M.E. Jones","","Apiaceae"
"CYIB","EPIB2","Epallageiton ibapense (M.E. Jones) Koso-Pol.","","Apiaceae"
"CYIB","EPWA2","Epallageiton watsonii (J.M. Coult. & Rose) Koso-Pol.","","Apiaceae"
"CYJO","","Cymopterus jonesii J.M. Coult. & Rose","Jones' springparsley","Apiaceae"
"CYJO","CYPUJ","Cymopterus purpureus S. Watson var. jonesii (J.M. Coult. & Rose) Goodrich","","Apiaceae"
"CYJO","EPJO","Epallageiton jonesii (J.M. Coult. & Rose) Koso-Pol.","","Apiaceae"
"CYLE7","","Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P. Wilson","marsh parsley","Apiaceae"
"CYLE7","APLE2","Apium leptophyllum (Pers.) F. Muell. ex Benth.","","Apiaceae"
"CYLE7","APTE","Apium tenuifolium (Moench) Thell. ex Hegi","","Apiaceae"
"CYLE7","CYAM5","Cyclospermum ammi Lag., non Sison ammi L.","","Apiaceae"
"CYMOP2","","Cymopterus Raf.","springparsley","Apiaceae"
"CYMU2","","Cymopterus multinervatus (J.M. Coult. & Rose) Tidestr.","purplenerve springparsley","Apiaceae"
"CYNI3","","Cymopterus nivalis S. Watson","snowline springparsley","Apiaceae"
"CYNI3","ALBI5","Aletes bipinnata (S. Watson) W.A. Weber","","Apiaceae"
"CYNI3","ALNI2","Aletes nivalis (S. Watson) W.A. Weber","","Apiaceae"
"CYNI3","CYBI","Cymopterus bipinnatus S. Watson","","Apiaceae"
"CYNI3","CYHU4","Cymopterus humboldtensis M.E. Jones","","Apiaceae"
"CYPU","","Cymopterus purpurascens (A. Gray) M.E. Jones","widewing springparsley","Apiaceae"
"CYPU2","","Cymopterus purpureus S. Watson","purple springparsley","Apiaceae"
"CYPU2","EPPU","Epallageiton purpureum (S. Watson) Koso-Pol.","","Apiaceae"
"CYRI2","","Cymopterus ripleyi Barneby","Ripley's springparsley","Apiaceae"
"CYRI2","CYRIS","Cymopterus ripleyi Barneby var. saniculoides Barneby","","Apiaceae"
"DACA6","","Daucus carota L.","Queen Anne's lace","Apiaceae"
"DAUCU","","Daucus L.","wild carrot","Apiaceae"
"ERAL8","","Eryngium alismifolium Greene","Modoc eryngo","Apiaceae"
"ERYNG","","Eryngium L.","eryngo","Apiaceae"
"FOENI","","Foeniculum Mill.","fennel","Apiaceae"
"FOVU","","Foeniculum vulgare Mill.","sweet fennel","Apiaceae"
"FOVU","FOFO","Foeniculum foeniculum (L.) Karst., nom. inval.","","Apiaceae"
"HEMA80","","Heracleum maximum W. Bartram","common cowparsnip","Apiaceae"
"HEMA80","HELA4","Heracleum lanatum Michx.","","Apiaceae"
"HEMA80","HESPM","Heracleum sphondylium L. ssp. montanum (Schleich. ex Gaudin) Briq.","","Apiaceae"
"HEMA80","HESPL","Heracleum sphondylium L. var. lanatum (Michx.) Dorn","","Apiaceae"
"HERAC","","Heracleum L.","cowparsnip","Apiaceae"
"HYDRO2","","Hydrocotyle L.","hydrocotyle","Apiaceae"
"HYPR10","","Hydrocotyle prolifera Kellogg","whorled marshpennywort","Apiaceae"
"HYPR10","HYAU2","Hydrocotyle australis J.M. Coult. & Rose","","Apiaceae"
"HYPR10","HYCA13","Hydrocotyle canbyi J.M. Coult. & Rose","","Apiaceae"
"HYPR10","HYVET","Hydrocotyle verticillata Thunb. var. triradiata (A. Rich.) Fernald","","Apiaceae"
"HYVE2","","Hydrocotyle verticillata Thunb.","whorled marshpennywort","Apiaceae"
"HYVEV","","Hydrocotyle verticillata Thunb. var. verticillata","whorled marshpennywort","Apiaceae"
"LIGR","","Ligusticum grayi J.M. Coult. & Rose","Gray's licorice-root","Apiaceae"
"LIGUS","","Ligusticum L.","licorice-root","Apiaceae"
"LIPO","","Ligusticum porteri J.M. Coult. & Rose","Porter's licorice-root","Apiaceae"
"LIPOB","","Ligusticum porteri J.M. Coult. & Rose var. brevilobum (Rydb.) Mathias & Constance","Porter's licorice-root","Apiaceae"
"LIPOP","","Ligusticum porteri J.M. Coult. & Rose var. porteri","Porter's licorice-root","Apiaceae"
"LOAU5","","Lomatium austiniae (J.M. Coult. & Rose) J.M. Coult. & Rose","Austin desertparsley","Apiaceae"
"LOAU5","LOPLA","Lomatium plummerae (J.M. Coult. & Rose) J.M. Coult. & Rose var. austiniae (J.M. Coult. & Rose) Mathias","","Apiaceae"
"LOAU5","LOPLS","Lomatium plummerae (J.M. Coult. & Rose) J.M. Coult. & Rose var. sonnei (J.M. Coult. & Rose) Jeps.","","Apiaceae"
"LOBI","","Lomatium bicolor (S. Watson) J.M. Coult. & Rose","Wasatch desertparsley","Apiaceae"
"LOBIL","","Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. leptocarpum (Torr. & A. Gray) Schlessman","Wasatch desertparsley","Apiaceae"
"LOBIL","LOLE2","Lomatium leptocarpum (Torr. & A. Gray) J.M. Coult. & Rose","","Apiaceae"
"LOCA4","","Lomatium canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose","Canby's biscuitroot","Apiaceae"
"LOCA4","PECA28","Peucedanum canbyi J.M. Coult. & Rose","","Apiaceae"
"LOCO4","","Lomatium cous (S. Watson) J.M. Coult. & Rose","cous biscuitroot","Apiaceae"
"LOCO4","LOCI4","Lomatium circumdatum (S. Watson) J.M. Coult. & Rose","","Apiaceae"
"LOCO4","LOMO4","Lomatium montanum J.M. Coult. & Rose","","Apiaceae"
"LODI","","Lomatium dissectum (Nutt.) Mathias & Constance","fernleaf biscuitroot","Apiaceae"
"LODIM","","Lomatium dissectum (Nutt.) Mathias & Constance var. multifidum (Nutt.) Mathias & Constance","carrotleaf biscuitroot","Apiaceae"
"LODIM","LEMU5","Leptotaenia multifida Nutt.","","Apiaceae"
"LODIM","LODIE","Lomatium dissectum (Nutt.) Mathias & Constance var. eatonii (J.M. Coult. & Rose) Cronquist","","Apiaceae"
"LODO2","","Lomatium donnellii (J.M. Coult. & Rose) J.M. Coult. & Rose","Donnell's biscuitroot","Apiaceae"
"LODO2","LOPL","Lomatium plummerae (J.M. Coult. & Rose) J.M. Coult. & Rose","","Apiaceae"
"LOFO","","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose","desert biscuitroot","Apiaceae"
"LOFOF","","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. fimbriatum W.L. Theobald","desert biscuitroot","Apiaceae"
"LOFOF","LOFOF3","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose var. fimbriatum (W.L. Theobald) B. Boivin","","Apiaceae"
"LOFOI","","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. inyoense (Mathias & Constance ex Munz & Roos) W.L. Theobald","Inyo biscuitroot","Apiaceae"
"LOFOI","LOFOI2","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose var. inyoense (Mathias & Constance ex Munz & Roos) B. Boivin","","Apiaceae"
"LOFOI","LOIN7","Lomatium inyoense Mathias & Constance ex Munz & Roos","","Apiaceae"
"LOFOM","","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. macdougalii (J.M. Coult. & Rose) W.L. Theobald","Macdougal's biscuitroot","Apiaceae"
"LOFOM","LOFOM2","Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose var. macdougalii (J.M. Coult. & Rose) Cronquist","","Apiaceae"
"LOFOM","LOMA9","Lomatium macdougalii J.M. Coult. & Rose","","Apiaceae"
"LOGR","","Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose","Gray's biscuitroot","Apiaceae"
"LOGR6","","Lomatium graveolens (S. Watson) Dorn & R.L. Hartm.","king desertparsley","Apiaceae"
"LOGRA","","Lomatium graveolens (S. Watson) Dorn & R.L. Hartm. var. alpinum (S. Watson) Dorn & R.L. Hartm.","alpine biscuitroot","Apiaceae"
"LOGRA","CYAL7","Cynomarathrum alpinum (S. Watson) J.M. Coult. & Rose","","Apiaceae"
"LOGRA","LOGRC","Lomatium graveolens (S. Watson) Dorn & R.L. Hartm. var. clarkii S.L. Welsh","","Apiaceae"
"LOGRA","LOKIA","Lomatium kingii (S. Watson) Cronquist var. alpinum (S. Watson) Cronquist","","Apiaceae"
"LOGRA","LONUA","Lomatium nuttallii (A. Gray) J.F. Macbr. var. alpinum (S. Watson) Mathias","","Apiaceae"
"LOGRA","PEGRA","Peucedanum graveolens S. Watson var. alpinum S. Watson","","Apiaceae"
"LOGRA","PEKIA","Peucedanum kingii S. Watson var. alpinum (S. Watson) J.M. Coult. & Rose","","Apiaceae"
"LOGRD","","Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose var. depauperatum (M.E. Jones) Mathias","Gray's biscuitroot","Apiaceae"
"LOGRG2","","Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose var. grayi","Gray's biscuitroot","Apiaceae"
"LOHE2","","Lomatium hendersonii (J.M. Coult. & Rose) J.M. Coult. & Rose","Henderson's biscuitroot","Apiaceae"
"LOMA3","","Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose","bigseed biscuitroot","Apiaceae"
"LOMA3","COMA12","Cogswellia macrocarpa (Nutt. ex Torr. & A. Gray) M.E. Jones","","Apiaceae"
"LOMA3","FEMA","Ferula macrocarpa Hook. & Arn.","","Apiaceae"
