"Symbol","Synonym Symbol","Scientific Name with Author","National Common Name","Family"
"AGAVE","","Agave L.","agave","Agavaceae"
"AGDE","","Agave deserti Engelm.","desert agave","Agavaceae"
"AGDED","","Agave deserti Engelm. ssp. deserti","desert agave","Agavaceae"
"AGDED","AGCO7","Agave consociata Trel.","","Agavaceae"
"AGDES","","Agave deserti Engelm. ssp. simplex Gentry","desert agave","Agavaceae"
"AGDES","AGDES3","Agave deserti Engelm. var. simplex (Gentry) W.C. Hodgson & Reveal","","Agavaceae"
"AGSH","","Agave shawii Engelm.","coastal agave","Agavaceae"
"AGUT","","Agave utahensis Engelm.","Utah agave","Agavaceae"
"AGUTE","","Agave utahensis Engelm. var. eborispina (Hester) Breitung","Utah agave","Agavaceae"
"AGUTN","","Agave utahensis Engelm. var. nevadensis Engelm. ex Greenm. & Roush","Nevada agave","Agavaceae"
"HESPE12","","Hesperoyucca (Engelm.) Baker","hesperoyucca","Agavaceae"
"HEWH","","Hesperoyucca whipplei (Torr.) Baker","chaparral yucca","Agavaceae"
"HEWH","YUCA4","Yucca californica Lemmon","","Agavaceae"
"HEWH","YUGR","Yucca graminifolia Alph. Wood","","Agavaceae"
"HEWH","YUNI","Yucca nitida C. Wright ex W. Watson","","Agavaceae"
"HEWH","YUWH","Yucca whipplei Torr.","","Agavaceae"
"HEWH","YUWHC","Yucca whipplei Torr. ssp. caespitosa (M.E. Jones) Haines","","Agavaceae"
"HEWH","YUWHE","Yucca whipplei Torr. ssp. eremica Epling & Haines","","Agavaceae"
"HEWH","YUWHI","Yucca whipplei Torr. ssp. intermedia Haines","","Agavaceae"
"HEWH","YUWHP","Yucca whipplei Torr. ssp. parishii (M.E. Jones) Haines","","Agavaceae"
"HEWH","YUWHP2","Yucca whipplei Torr. ssp. percursa Haines","","Agavaceae"
"HEWH","YUWHC2","Yucca whipplei Torr. var. caespitosa M.E. Jones","","Agavaceae"
"HEWH","YUWHG","Yucca whipplei Torr. var. graminifolia (Alph. Wood) Trel.","","Agavaceae"
"HEWH","YUWHI2","Yucca whipplei Torr. var. intermedia (Haines) J.M. Webber","","Agavaceae"
"HEWH","YUWHP3","Yucca whipplei Torr. var. parishii M.E. Jones","","Agavaceae"
"HEWH","YUWHP4","Yucca whipplei Torr. var. percursa (Haines) J.M. Webber","","Agavaceae"
"HEWH","YUWHW","Yucca whipplei Torr. var. whipplei","","Agavaceae"
"YUBA","","Yucca baccata Torr.","banana yucca","Agavaceae"
"YUBA","YUBAB","Yucca baccata Torr. var. baccata","","Agavaceae"
"YUBA","YUBAV","Yucca baccata Torr. var. vespertina McKelvey","","Agavaceae"
"YUBA","YUCO2","Yucca confinis McKelvey","","Agavaceae"
"YUBA","YUVE2","Yucca vespertina (McKelvey) S.L. Welsh","","Agavaceae"
"YUBR","","Yucca brevifolia Engelm.","Joshua tree","Agavaceae"
"YUBRB","","Yucca brevifolia Engelm. var. brevifolia","Joshua tree","Agavaceae"
"YUBRB","CLBR3","Clistoyucca brevifolia (Engelm.) Rydb.","","Agavaceae"
"YUBRB","YUBRH","Yucca brevifolia Engelm. var. herbertii (J.M. Webber) Munz","","Agavaceae"
"YUBRJ","","Yucca brevifolia Engelm. var. jaegeriana McKelvey","Jaeger's Joshua tree","Agavaceae"
"YUCCA","","Yucca L.","yucca","Agavaceae"
"YUSC2","","Yucca schidigera Roezl ex Ortgies","Mojave yucca","Agavaceae"
"YUSC2","YUCA3","Yucca californica Nutt. ex Baker","","Agavaceae"
"YUSC2","YUMA","Yucca macrocarpa Merriam, non Engelm.","","Agavaceae"
"YUSC2","YUMO2","Yucca mohavensis Sarg.","","Agavaceae"
"APCO","","Aptenia cordifolia (L. f.) Schwant.","heartleaf iceplant","Aizoaceae"
"APCO","MECO11","Mesembryanthemum cordifolium L. f.","","Aizoaceae"
"APTEN","","Aptenia N.E. Br.","aptenia","Aizoaceae"
"CACH38","","Carpobrotus chilensis (Molina) N.E. Br.","sea fig","Aizoaceae"
"CACH38","CAAE8","Carpobrotus aequilateralus auct. non (Haw.) N.E. Br.","","Aizoaceae"
"CACH38","MECH4","Mesembryanthemum chilense Molina","","Aizoaceae"
"CAED3","","Carpobrotus edulis (L.) L. Bolus","hottentot fig","Aizoaceae"
"CAED3","MEED","Mesembryanthemum edule L.","","Aizoaceae"
"CARPO","","Carpobrotus N.E. Br.","carpobrotus","Aizoaceae"
"CONIC","","Conicosia N.R. Br.","narrow-leaved iceplant","Aizoaceae"
"COPU18","","Conicosia pugioniformis (L.) N.E. Br.","narrow-leaved iceplant","Aizoaceae"
"CYHU3","","Cypselea humifusa Turp.","panal","Aizoaceae"
"CYPSE","","Cypselea Turp.","cypselea","Aizoaceae"
"DELI4","","Delosperma litorale (Kensit) L. Bolus","seaside delosperma","Aizoaceae"
"DELOS","","Delosperma N.E. Br.","delosperma","Aizoaceae"
"DRFL2","","Drosanthemum floribundum (Haw.) Schwant.","showy dewflower","Aizoaceae"
"DRFL2","MEFL3","Mesembryanthemum floribundum Haw.","","Aizoaceae"
"DRHI4","","Drosanthemum hispidum (L.) Schwant.","hairy dewflower","Aizoaceae"
"DROSA","","Drosanthemum Schwant.","dewflower","Aizoaceae"
"DRSP5","","Drosanthemum speciosum (Haw.) Schwant.","royal dewflower","Aizoaceae"
"DRSP5","MESP8","Mesembryanthemum speciosum Haw.","","Aizoaceae"
"GALEN","","Galenia L.","galenia","Aizoaceae"
"GAPU80","","Galenia pubescens (Eckl. & Zeyh.) Druce","coastal galenia","Aizoaceae"
"LACO5","","Lampranthus coccineus (Haw.) N.E. Br.","redflush","Aizoaceae"
"LACO5","MECO5","Mesembryanthemum coccineum Haw.","","Aizoaceae"
"LAMPR","","Lampranthus N.E. Br.","lampranthus","Aizoaceae"
"LAMU3","","Lampranthus multiradiatus (Jacq.) N.E. Br.","creeping redflush","Aizoaceae"
"MACR3","","Malephora crocea (Jacq.) Schwant.","coppery mesemb","Aizoaceae"
"MALEP","","Malephora N.E. Br.","malephora","Aizoaceae"
"MECR3","","Mesembryanthemum crystallinum L.","common iceplant","Aizoaceae"
"MECR3","GACR","Gasoul crystallinum (L.) Rothm.","","Aizoaceae"
"MENO2","","Mesembryanthemum nodiflorum L.","slenderleaf iceplant","Aizoaceae"
"MENO2","GANO","Gasoul nodiflorum (L.) Rothm.","","Aizoaceae"
"MESEM","","Mesembryanthemum L.","iceplant","Aizoaceae"
"SESUV","","Sesuvium L.","seapurslane","Aizoaceae"
"SEVE2","","Sesuvium verrucosum Raf.","verrucose seapurslane","Aizoaceae"
"SEVE2","SEER3","Sesuvium erectum Correll","","Aizoaceae"
"TETE3","","Tetragonia tetragonioides (Pall.) Kuntze","New Zealand spinach","Aizoaceae"
"TETE3","TEEX","Tetragonia expansa Murray","","Aizoaceae"
"TETRA9","","Tetragonia L.","tetragonia","Aizoaceae"
"TRIAN","","Trianthema L.","trianthema","Aizoaceae"
"TRPO2","","Trianthema portulacastrum L.","desert horsepurslane","Aizoaceae"
"ALGR","","Alisma gramineum Lej.","narrowleaf water plantain","Alismataceae"
"ALGR","ALGE3","Alisma geyeri Torr.","","Alismataceae"
"ALGR","ALGRA","Alisma gramineum Lej. var. angustissimum (DC.) A.J. Hendricks","","Alismataceae"
"ALGR","ALGRG2","Alisma gramineum Lej. var. geyeri (Torr.) Lam.","","Alismataceae"
"ALGR","ALGRG3","Alisma gramineum Lej. var. graminifolium (Wahlenb.) A.J. Hendricks","","Alismataceae"
"ALGR","ALGRW","Alisma gramineum Lej. var. wahlenbergii auct. non (Holmb.) Raymond & Kucyniak","","Alismataceae"
"ALGR","ALLA5","Alisma lanceolatum A. Gray","","Alismataceae"
"ALISM","","Alisma L.","water plantain","Alismataceae"
"ALLA2","","Alisma lanceolatum With.","lanceleaf water plantain","Alismataceae"
"ALSU","","Alisma subcordatum Raf.","American water plantain","Alismataceae"
"ALSU","ALPLS","Alisma plantago-aquatica L. ssp. subcordatum (Raf.) Hultén","","Alismataceae"
"ALSU","ALPLP","Alisma plantago-aquatica L. var. parviflorum (Pursh) Torr.","","Alismataceae"
"ALTR7","","Alisma triviale Pursh","northern water plantain","Alismataceae"
"ALTR7","ALBR10","Alisma brevipes Greene","","Alismataceae"
"ALTR7","ALPLB","Alisma plantago-aquatica L. ssp. brevipes (Greene) Sam.","","Alismataceae"
"ALTR7","ALPLA","Alisma plantago-aquatica L. var. americanum Schult.","","Alismataceae"
"ALTR7","ALPLB2","Alisma plantago-aquatica L. var. brevipes (Greene) Vict.","","Alismataceae"
"DACA12","","Damasonium californicum Torr. ex Benth.","California damsonium","Alismataceae"
"DACA12","MACA3","Machaerocarpus californicus (Torr. ex Benth.) Small","","Alismataceae"
"DAMAS","","Damasonium Hill","damasonium","Alismataceae"
"ECBE2","","Echinodorus berteroi (Spreng.) Fassett","upright burhead","Alismataceae"
"ECBE2","ECBEL","Echinodorus berteroi (Spreng.) Fassett var. lanceolatus (Engelm. ex S. Watson & J.M. Coult.) Fassett","","Alismataceae"
"ECBE2","ECRO","Echinodorus rostratus (Nutt.) Engelm.","","Alismataceae"
"ECBE2","ECROL","Echinodorus rostratus (Nutt.) Engelm. var. lanceolatus Engelm. ex S. Watson & J.M. Coult.","","Alismataceae"
"ECHIN6","","Echinodorus Rich. ex Engelm.","burhead","Alismataceae"
"SABR8","","Sagittaria brevirostra Mack. & Bush","shortbeak arrowhead","Alismataceae"
"SABR8","SAENB2","Sagittaria engelmanniana J.G. Sm. ssp. brevirostra (Mack. & Bush) Bogin","","Alismataceae"
"SACA21","","Sagittaria calycina Engelm.","hooded arrowhead","Alismataceae"
"SACAC","","Sagittaria calycina Engelm. var. calycina","hooded arrowhead","Alismataceae"
"SACAC","LOCA11","Lophotocarpus californicus J.G. Sm.","","Alismataceae"
"SACAC","LOCA12","Lophotocarpus calycinus (Engelm.) J.G. Sm.","","Alismataceae"
"SACAC","LODE3","Lophotocarpus depauperatus J.G. Sm.","","Alismataceae"
"SACAC","SAMOC2","Sagittaria montevidensis Cham. & Schltdl. ssp. calycina (Engelm.) Bogin","","Alismataceae"
"SACU","","Sagittaria cuneata Sheldon","arumleaf arrowhead","Alismataceae"
"SACU","SAAR26","Sagittaria arifolia Nutt. ex J.G. Sm.","","Alismataceae"
"SAGIT","","Sagittaria L.","arrowhead","Alismataceae"
"SALA2","","Sagittaria latifolia Willd.","broadleaf arrowhead","Alismataceae"
"SALA2","SACH15","Sagittaria chinensis Pursh","","Alismataceae"
"SALA2","SAENL3","Sagittaria engelmanniana J.G. Sm. ssp. longirostra (Micheli) Bogin","","Alismataceae"
"SALA2","SAES2","Sagittaria esculenta Howell","","Alismataceae"
"SALA2","SALAO","Sagittaria latifolia Willd. var. obtusa (Muhl. ex Willd.) Wiegand","","Alismataceae"
"SALA2","SALAP","Sagittaria latifolia Willd. var. pubescens (Muhl. ex Nutt.) J.G. Sm.","","Alismataceae"
"SALA2","SALO11","Sagittaria longirostra (Micheli) J.G. Sm.","","Alismataceae"
"SALA2","SAOB4","Sagittaria obtusa Muhl. ex Willd., non Thunb.","","Alismataceae"
"SALA2","SAOR8","Sagittaria ornithorhyncha Small","","Alismataceae"
"SALA2","SAPL5","Sagittaria planipes Fernald","","Alismataceae"
"SALA2","SAPU10","Sagittaria pubescens Muhl. ex Nutt.","","Alismataceae"
"SALA2","SAVAO2","Sagittaria variabilis Engelm. var. obtusa (Muhl. ex Willd.) Engelm.","","Alismataceae"
"SALA2","SAVI12","Sagittaria viscosa C. Mohr","","Alismataceae"
"SALO2","","Sagittaria longiloba Engelm. ex J.G. Sm.","longbarb arrowhead","Alismataceae"
"SALO2","SAGR2","Sagittaria greggii J.G. Sm.","","Alismataceae"
"SARI","","Sagittaria rigida Pursh","sessilefruit arrowhead","Alismataceae"
"SASA2","","Sagittaria sanfordii Greene","valley arrowhead","Alismataceae"
"ALOE","","Aloe L.","aloe","Aloaceae"
"ALSC12","","Aloe ×schoenlandi Baker [saporaria × striata]","aloe","Aloaceae"
"ALBE","","Alternanthera bettzichiana (Regel) Voss","calicoplant","Amaranthaceae"
"ALBE","ACBE3","Achyranthes bettzichiana (Regel) Standl.","","Amaranthaceae"
"ALBE","ACFIB","Achyranthes ficoidea (L.) Lam. ssp. bettzichiana (Regel) Baker","","Amaranthaceae"
"ALBE","ALAM11","Alternanthera amoena (Lemaire) Voss","","Amaranthaceae"
"ALBE","ALTEV","Alternanthera tenella Colla var. versicolor (Lem.) Veldkamp","","Amaranthaceae"
"ALCA5","","Alternanthera caracasana Kunth","washerwoman","Amaranthaceae"
"ALCA5","ACPE3","Achyranthes peploides (Humb. & Bonpl. ex Schult.) Britton & P. Wilson","","Amaranthaceae"
"ALCA5","ALPE6","Alternanthera peploides (Humb. & Bonpl. ex Schult.) Urb.","","Amaranthaceae"
"ALPH","","Alternanthera philoxeroides (Mart.) Griseb.","alligatorweed","Amaranthaceae"
"ALPH","ACPH","Achyranthes philoxeroides (Mart.) Standl.","","Amaranthaceae"
"ALTER2","","Alternanthera Forssk.","joyweed","Amaranthaceae"
"AMAL","","Amaranthus albus L.","prostrate pigweed","Amaranthaceae"
"AMAL","AMALP3","Amaranthus albus L. var. pubescens (Uline & Bray) Fernald","","Amaranthaceae"
"AMAL","AMGRP","Amaranthus graecizans L. var. pubescens Uline & Bray","","Amaranthaceae"
"AMAL","AMPU","Amaranthus pubescens (Uline & Bray) Rydb.","","Amaranthaceae"
"AMAR","","Amaranthus arenicola I.M. Johnst.","sandhill amaranth","Amaranthaceae"
"AMARA","","Amaranthus L.","pigweed","Amaranthaceae"
"AMBL","","Amaranthus blitoides S. Watson","mat amaranth","Amaranthaceae"
"AMBL","AMGR","Amaranthus graecizans auct. non L.","","Amaranthaceae"
"AMBL2","","Amaranthus blitum L.","purple amaranth","Amaranthaceae"
"AMBLE2","","Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon","purple amaranth","Amaranthaceae"
"AMBLE2","AMBLE","Amaranthus blitum L. ssp. emarginatus (Moq. ex Uline & Bray) Carretero, Garmendia & Pedrol","","Amaranthaceae"
"AMBLE2","AMLI","Amaranthus lividus auct. non L.","","Amaranthaceae"
"AMCA","","Amaranthus californicus (Moq.) S. Watson","California amaranth","Amaranthaceae"
"AMCA","AMAL4","Amaranthus albomarginatus Uline & Bray","","Amaranthaceae"
"AMCA","AMMI5","Amaranthus microphyllus Shinners","","Amaranthaceae"
"AMCA3","","Amaranthus caudatus L.","foxtail amaranth","Amaranthaceae"
"AMCA3","AMED","Amaranthus edulis Speg.","","Amaranthaceae"
"AMCR4","","Amaranthus cruentus L.","red amaranth","Amaranthaceae"
"AMCR4","AMHYC","Amaranthus hybridus L. ssp. cruentus (L.) Thell.","","Amaranthaceae"
"AMCR4","AMHYC2","Amaranthus hybridus L. var. cruentus (L.) Moq.","","Amaranthaceae"
"AMCR4","AMPA10","Amaranthus paniculatus L.","","Amaranthaceae"
"AMDE","","Amaranthus deflexus L.","largefruit amaranth","Amaranthaceae"
"AMFI","","Amaranthus fimbriatus (Torr.) Benth. ex S. Watson","fringed amaranth","Amaranthaceae"
"AMFI","AMFIF","Amaranthus fimbriatus (Torr.) Benth. ex S. Watson var. fimbriatus","","Amaranthaceae"
"AMHY","","Amaranthus hybridus L.","slim amaranth","Amaranthaceae"
"AMHY","AMCH7","Amaranthus chlorostachys Willd.","","Amaranthaceae"
"AMHY","AMIN6","Amaranthus incurvatus Tim. ex Gren. & Godr.","","Amaranthaceae"
"AMHY","AMPA11","Amaranthus patulus Bertol.","","Amaranthaceae"
"AMHY2","","Amaranthus hypochondriacus L.","Prince-of-Wales feather","Amaranthaceae"
"AMHY2","AMHYH","Amaranthus hybridus L. ssp. hypochondriacus (L.) Thell.","","Amaranthaceae"
"AMHY2","AMLE2","Amaranthus leucocarpus S. Watson","","Amaranthaceae"
"AMPA","","Amaranthus palmeri S. Watson","carelessweed","Amaranthaceae"
"AMPO2","","Amaranthus powellii S. Watson","Powell's amaranth","Amaranthaceae"
"AMPOB2","","Amaranthus powellii S. Watson ssp. bouchonii (Thell.) Costea & Carretero","Powell's amaranth","Amaranthaceae"
"AMPOB2","AMBO","Amaranthus bouchonii Thell.","","Amaranthaceae"
"AMPOP","","Amaranthus powellii S. Watson ssp. powellii","Powell's amaranth","Amaranthaceae"
"AMPOP","AMBR4","Amaranthus bracteosus Uline & Bray","","Amaranthaceae"
"AMPOP","AMREP","Amaranthus retroflexus L. var. powellii (S. Watson) B. Boivin","","Amaranthaceae"
"AMPOP","AMVI4","Amaranthus viscidulus Greene","","Amaranthaceae"
"AMRE","","Amaranthus retroflexus L.","redroot amaranth","Amaranthaceae"
"AMRE","AMRES","Amaranthus retroflexus L. var. salicifolius I.M. Johnst.","","Amaranthaceae"
"AMSP","","Amaranthus spinosus L.","spiny amaranth","Amaranthaceae"
"AMTO6","","Amaranthus torreyi (A. Gray) Benth. ex S. Watson","Torrey's amaranthus","Amaranthaceae"
"AMTU","","Amaranthus tuberculatus (Moq.) Sauer","roughfruit amaranth","Amaranthaceae"
"AMTU","ACAL5","Acnida altissima (Riddell) Moq. ex Standl.","","Amaranthaceae"
"AMTU","ACALP","Acnida altissima (Riddell) Moq. ex Standl. var. prostrata (Uline & Bray) Fernald","","Amaranthaceae"
"AMTU","ACALS","Acnida altissima (Riddell) Moq. ex Standl. var. subnuda (S. Watson) Fernald","","Amaranthaceae"
"AMTU","ACCO8","Acnida concatenata (Moq.) Small","","Amaranthaceae"
"AMTU","ACSU","Acnida subnuda (S. Watson) Standl.","","Amaranthaceae"
"AMTU","ACTA","Acnida tamariscina auct. non (Nutt.) Alph. Wood","","Amaranthaceae"
"AMTU","ACTAP","Acnida tamariscina (Nutt.) Alph. Wood var. prostrata Uline & Bray","","Amaranthaceae"
"AMTU","ACTU","Acnida tuberculata Moq.","","Amaranthaceae"
"AMTU","AMAL5","Amaranthus altissimus Riddell","","Amaranthaceae"
"AMTU","AMAM7","Amaranthus ambigens Standl.","","Amaranthaceae"
"AMTU","AMRU","Amaranthus rudis Sauer","","Amaranthaceae"
"AMTU","AMTA3","Amaranthus tamariscinus auct. non Nutt.","","Amaranthaceae"
"AMTU","AMTUP","Amaranthus tuberculatus (Moq.) Sauer var. prostratus (Uline & Bray) B.L. Rob.","","Amaranthaceae"
"AMTU","AMTUS","Amaranthus tuberculatus (Moq.) Sauer var. subnudus S. Watson","","Amaranthaceae"
"AMWA","","Amaranthus watsonii Standl.","Watson's amaranth","Amaranthaceae"
"AMWA","AMTO","Amaranthus torreyi auct. non (A. Gray) Benth. ex S. Watson","","Amaranthaceae"
"FRGR3","","Froelichia gracilis (Hook.) Moq.","slender snakecotton","Amaranthaceae"
"FRGR3","FRBR2","Froelichia braunii Standl.","","Amaranthaceae"
"FRGR3","OPGR4","Oplotheca gracilis Hook.","","Amaranthaceae"
"FROEL","","Froelichia Moench","snakecotton","Amaranthaceae"
"GUDE","","Guilleminea densa (Humb. & Bonpl. ex Schult.) Moq.","small matweed","Amaranthaceae"
"GUDEA","","Guilleminea densa (Humb. & Bonpl. ex Schult.) Moq. var. aggregata Uline & Bray","small matweed","Amaranthaceae"
"GUILL","","Guilleminea Kunth","matweed","Amaranthaceae"
"TIDES","","Tidestromia Standl.","honeysweet","Amaranthaceae"
"TILA2","","Tidestromia lanuginosa (Nutt.) Standl.","woolly tidestromia","Amaranthaceae"
"TILA2","CLLA7","Cladothrix lanuginosa Nutt.","","Amaranthaceae"
"TIOB","","Tidestromia oblongifolia (S. Watson) Standl.","Arizona honeysweet","Amaranthaceae"
"LIMO4","","Lithrea molleoides (Vell.) Engl.","aroeira blanca","Anacardiaceae"
"LITHR","","Lithrea Miers ex Hook. & Arn.","lithrea","Anacardiaceae"
"MALA6","","Malosma laurina (Nutt.) Nutt. ex Abrams","laurel sumac","Anacardiaceae"
"MALA6","RHLA4","Rhus laurina Nutt.","","Anacardiaceae"
"MALOS2","","Malosma Nutt. ex Abrams","laurel sumac","Anacardiaceae"
"PIAT4","","Pistacia atlantica Desf.","Mt. Atlas mastic tree","Anacardiaceae"
"PIAT4","PICA8","Pistacia cabulica Stocks","","Anacardiaceae"
"PICH4","","Pistacia chinensis Bunge","Chinese pistache","Anacardiaceae"
"PISTA","","Pistacia L.","pistache","Anacardiaceae"
"RHGL","","Rhus glabra L.","smooth sumac","Anacardiaceae"
"RHGL","RHCA15","Rhus calophylla Greene","","Anacardiaceae"
"RHGL","RHGLC2","Rhus glabra L. var. cismontana (Greene) Cockerell","","Anacardiaceae"
"RHGL","RHGLL2","Rhus glabra L. var. laciniata Carrière","","Anacardiaceae"
"RHGL","RHGLO","Rhus glabra L. var. occidentalis Torr.","","Anacardiaceae"
"RHIN2","","Rhus integrifolia (Nutt.) W.H. Brewer & S. Watson","lemonade sumac","Anacardiaceae"
"RHLA11","","Rhus lancea L. f.","African sumac","Anacardiaceae"
"RHOV","","Rhus ovata S. Watson","sugar sumac","Anacardiaceae"
"RHOV","RHOVT","Rhus ovata S. Watson var. traskiae F.A. Barkley p.p.","","Anacardiaceae"
"RHTR","","Rhus trilobata Nutt.","skunkbush sumac","Anacardiaceae"
"RHTRA","","Rhus trilobata Nutt. var. anisophylla (Greene) Jeps.","skunkbush sumac","Anacardiaceae"
"RHTRA","SCAN6","Schmaltzia anisophylla Greene","","Anacardiaceae"
"RHTRA","SCTRA","Schmaltzia trilobata (Nutt.) Small var. anisophylla (Greene) F.A. Barkley","","Anacardiaceae"
"RHTRP","","Rhus trilobata Nutt. var. pilosissima Engelm.","pubescent skunkbush sumac","Anacardiaceae"
"RHTRP","RHARP2","Rhus aromatica Aiton ssp. pilosissima (Engelm.) W.A. Weber","","Anacardiaceae"
"RHTRP","RHARM","Rhus aromatica Aiton var. mollis Ashe","","Anacardiaceae"
"RHTRP","RHARP","Rhus aromatica Aiton var. pilosissima (Engelm.) Shinners","","Anacardiaceae"
"RHTRP","RHTRM","Rhus trilobata Nutt. var. malacophylla (Greene) Munz","","Anacardiaceae"
"RHTRQ","","Rhus trilobata Nutt. var. quinata (Greene) Jeps.","skunkbush sumac","Anacardiaceae"
"RHTRS","","Rhus trilobata Nutt. var. simplicifolia (Greene) F.A. Barkley","skunkbush sumac","Anacardiaceae"
"RHTRS","RHARS3","Rhus aromatica Aiton var. simplicifolia (Greene) Cronquist","","Anacardiaceae"
"RHTRT","","Rhus trilobata Nutt. var. trilobata","skunkbush sumac","Anacardiaceae"
"RHTRT","RHARF2","Rhus aromatica Aiton ssp. flabelliformis (Shinners) R.E. Brooks","","Anacardiaceae"
"RHTRT","RHART","Rhus aromatica Aiton ssp. trilobata (Nutt.) W.A. Weber","","Anacardiaceae"
"RHTRT","RHARF","Rhus aromatica Aiton var. flabelliformis Shinners","","Anacardiaceae"
"RHTRT","RHART2","Rhus aromatica Aiton var. trilobata (Nutt.) A. Gray ex S. Watson","","Anacardiaceae"
"RHTRT","SCTR4","Schmaltzia trilobata (Nutt.) Small","","Anacardiaceae"
"RHUS","","Rhus L.","sumac","Anacardiaceae"
"SCHIN","","Schinus L.","peppertree","Anacardiaceae"
"SCMO","","Schinus molle L.","Peruvian peppertree","Anacardiaceae"
"SCPO7","","Schinus polygamus (Cav.) Cabrera","Hardee peppertree","Anacardiaceae"
"SCTE","","Schinus terebinthifolius Raddi","Brazilian peppertree","Anacardiaceae"
"SCTE","SCTE16","Schinus terebinthifolia Raddi, orth. var.","","Anacardiaceae"
"SCTER2","","Schinus terebinthifolius Raddi var. raddianus Engl.","Brazilian peppertree","Anacardiaceae"
"TODI","","Toxicodendron diversilobum (Torr. & A. Gray) Greene","Pacific poison oak","Anacardiaceae"
"TODI","RHDI6","Rhus diversiloba Torr. & A. Gray","","Anacardiaceae"
"TODI","TORAD2","Toxicodendron radicans (L.) Kuntze ssp. diversilobum (Torr. & A. Gray) Thorne","","Anacardiaceae"
"TOXIC","","Toxicodendron Mill.","poison oak","Anacardiaceae"
"AMGI","","Ammoselinum giganteum J.M. Coult. & Rose","western sandparsley","Apiaceae"
"AMMA","","Ammi majus L.","large bullwort","Apiaceae"
